date,projected,deaths,deathsPerMillion,deathIncrease,deathIncreaseAverage,deathIncreasePerMillion,positive,positivePerMillion,positiveIncrease,positiveIncreaseAverage,positiveIncreasePerMillion
20200713,false,0,0,0,0,0,0,0,0,0,0
20200714,false,0,0,0,0,0,0,0,0,0,0
20200715,false,0,0,0,0,0,0,0,0,0,0
20200716,false,0,0,0,0,0,0,0,0,0,0
20200717,false,0,0,0,0,0,0,0,0,0,0
20200718,false,0,0,0,0,0,0,0,0,0,0
20200719,false,0,0,0,0,0,0,0,0,0,0
20200720,false,0,0,0,0,0,0,0,0,0,0
20200721,false,0,0,0,0,0,0,0,0,0,0
20200722,false,0,0,0,0,0,0,0,0,0,0
20200723,false,0,0,0,0,0,0,0,0,0,0
20200724,false,0,0,0,0,0,0,0,0,0,0
20200725,false,0,0,0,0,0,0,0,0,0,0
20200726,false,0,0,0,0,0,0,0,0,0,0
20200727,false,0,0,0,0,0,0,0,0,0,0
20200728,false,0,0,0,0,0,0,0,0,0,0
20200729,false,0,0,0,0,0,0,0,0,0,0
20200730,false,0,0,0,0,0,0,0,0,0,0
20200731,false,0,0,0,0,0,0,0,0,0,0
20200801,false,0,0,0,0,0,0,0,0,0,0
20200802,false,0,0,0,0,0,0,0,0,0,0
20200803,false,0,0,0,0,0,0,0,0,0,0
20200804,false,0,0,0,0,0,0,0,0,0,0
20200805,false,0,0,0,0,0,0,0,0,0,0
20200806,false,0,0,0,0,0,0,0,0,0,0
20200807,false,0,0,0,0,0,0,0,0,0,0
20200808,false,0,0,0,0,0,0,0,0,0,0
20200809,false,0,0,0,0,0,0,0,0,0,0
20200810,false,0,0,0,0,0,0,0,0,0,0
20200811,false,0,0,0,0,0,0,0,0,0,0
20200812,false,0,0,0,0,0,0,0,0,0,0
20200813,false,0,0,0,0,0,0,0,0,0,0
20200814,false,0,0,0,0,0,0,0,0,0,0
20200815,false,0,0,0,0,0,0,0,0,0,0
20200816,false,0,0,0,0,0,0,0,0,0,0
20200817,false,0,0,0,0,0,0,0,0,0,0
20200818,false,0,0,0,0,0,0,0,0,0,0
20200819,false,0,0,0,0,0,0,0,0,0,0
20200820,false,0,0,0,0,0,0,0,0,0,0
20200821,false,0,0,0,0,0,0,0,0,0,0
20200822,false,0,0,0,0,0,0,0,0,0,0
20200823,false,0,0,0,0,0,0,0,0,0,0
20200824,false,0,0,0,0,0,0,0,0,0,0
20200825,false,0,0,0,0,0,0,0,0,0,0
20200826,false,0,0,0,0,0,0,0,0,0,0
20200827,false,0,0,0,0,0,0,0,0,0,0
20200828,false,0,0,0,0,0,0,0,0,0,0
20200829,false,0,0,0,0,0,0,0,0,0,0
20200830,false,0,0,0,0,0,0,0,0,0,0
20200831,false,0,0,0,0,0,0,0,0,0,0
20200901,false,0,0,0,0,0,0,0,0,0,0
20200902,false,0,0,0,0,0,0,0,0,0,0
20200903,false,0,0,0,0,0,0,0,0,0,0
20200904,false,0,0,0,0,0,0,0,0,0,0
20200905,false,0,0,0,0,0,0,0,0,0,0
20200906,false,0,0,0,0,0,0,0,0,0,0
20200907,false,0,0,0,0,0,0,0,0,0,0
20200908,false,0,0,0,0,0,0,0,0,0,0
20200909,false,0,0,0,0,0,0,0,0,0,0
20200910,false,0,0,0,0,0,0,0,0,0,0
20200911,false,0,0,0,0,0,0,0,0,0,0
20200912,false,0,0,0,0,0,0,0,0,0,0
20200913,false,0,0,0,0,0,0,0,0,0,0
20200914,false,0,0,0,0,0,0,0,0,0,0
20200915,false,0,0,0,0,0,0,0,0,0,0
20200916,false,0,0,0,0,0,0,0,0,0,0
20200917,false,0,0,0,0,0,0,0,0,0,0
20200918,false,0,0,0,0,0,0,0,0,0,0
20200919,false,0,0,0,0,0,0,0,0,0,0
20200920,false,0,0,0,0,0,0,0,0,0,0
20200921,false,0,0,0,0,0,0,0,0,0,0
20200922,false,0,0,0,0,0,0,0,0,0,0
20200923,false,0,0,0,0,0,0,0,0,0,0
20200924,false,0,0,0,0,0,0,0,0,0,0
20200925,false,0,0,0,0,0,0,0,0,0,0
20200926,false,0,0,0,0,0,0,0,0,0,0
20200927,false,0,0,0,0,0,0,0,0,0,0
20200928,false,0,0,0,0,0,0,0,0,0,0
20200929,false,0,0,0,0,0,0,0,0,0,0
20200930,false,0,0,0,0,0,0,0,0,0,0
20201001,false,0,0,0,0,0,0,0,0,0,0
20201002,false,0,0,0,0,0,0,0,0,0,0
20201003,false,0,0,0,0,0,0,0,0,0,0
20201004,false,0,0,0,0,0,0,0,0,0,0
20201005,false,0,0,0,0,0,0,0,0,0,0
20201006,false,0,0,0,0,0,0,0,0,0,0
20201007,false,0,0,0,0,0,0,0,0,0,0
20201008,false,0,0,0,0,0,0,0,0,0,0
20201009,false,0,0,0,0,0,0,0,0,0,0
20201010,false,0,0,0,0,0,0,0,0,0,0
20201011,false,0,0,0,0,0,0,0,0,0,0
20201012,false,0,0,0,0,0,0,0,0,0,0
20201013,false,0,0,0,0,0,0,0,0,0,0
20201014,false,0,0,0,0,0,0,0,0,0,0
20201015,false,0,0,0,0,0,0,0,0,0,0
20201016,false,0,0,0,0,0,0,0,0,0,0
20201017,false,0,0,0,0,0,0,0,0,0,0
20201018,false,0,0,0,0,0,0,0,0,0,0
20201019,false,0,0,0,0,0,0,0,0,0,0
20201020,false,0,0,0,0,0,0,0,0,0,0
20201021,false,0,0,0,0,0,0,0,0,0,0
20201022,false,0,0,0,0,0,0,0,0,0,0
20201023,false,0,0,0,0,0,0,0,0,0,0
20201024,false,0,0,0,0,0,0,0,0,0,0
20201025,false,0,0,0,0,0,0,0,0,0,0
20201026,false,0,0,0,0,0,0,0,0,0,0
20201027,false,0,0,0,0,0,0,0,0,0,0
20201028,false,0,0,0,0,0,0,0,0,0,0
20201029,false,0,0,0,0,0,0,0,0,0,0
20201030,false,0,0,0,0,0,0,0,0,0,0
20201031,false,0,0,0,0,0,0,0,0,0,0
20201101,false,0,0,0,0,0,0,0,0,0,0
20201102,false,0,0,0,0,0,0,0,0,0,0
20201103,false,0,0,0,0,0,0,0,0,0,0
20201104,false,0,0,0,0,0,0,0,0,0,0
20201105,false,0,0,0,0,0,0,0,0,0,0
20201106,false,0,0,0,0,0,0,0,0,0,0
20201107,false,0,0,0,0,0,0,0,0,0,0
20201108,false,0,0,0,0,0,0,0,0,0,0
20201109,false,0,0,0,0,0,0,0,0,0,0
20201110,false,0,0,0,0,0,0,0,0,0,0
20201111,true,0,0,0,0,0,0,0,0,0,0
20201112,true,0,0,0,0,0,0,0,0,0,0
20201113,true,0,0,0,0,0,0,0,0,0,0
20201114,true,0,0,0,0,0,0,0,0,0,0
20201115,true,0,0,0,0,0,0,0,0,0,0
20201116,true,0,0,0,0,0,0,0,0,0,0
20201117,true,0,0,0,0,0,0,0,0,0,0
20201118,true,0,0,0,0,0,0,0,0,0,0
20201119,true,0,0,0,0,0,0,0,0,0,0
20201120,true,0,0,0,0,0,0,0,0,0,0
20201121,true,0,0,0,0,0,0,0,0,0,0
20201122,true,0,0,0,0,0,0,0,0,0,0
20201123,true,0,0,0,0,0,0,0,0,0,0
20201124,true,0,0,0,0,0,0,0,0,0,0
